"Name"|"Club"|"Position"|"Marktwert"|"Einsaetze"|"Tore"|"Punkte"|"Punkte pro Spiel"|"Eff."|"Trend"|"MW"|"spiele"|"crap"|"scrape"|"buy"
"Chandler"|"1. FC Nürnberg"|"Abwehr"|"920.000"|"30 (30)"|1|31|"1,03"|"29.677"|""|920000|30|"1. FC Nürnberg"|"Chandler"|0
"Cherundolo"|"Hannover 96"|"Abwehr"|"420.000"|"20 (20)"|0|18|"0,90"|"23.333"|""|420000|20|"Hannover 96"|"Cherundolo"|0
"Choupo-Moting"|"1. FSV Mainz 05"|"Sturm"|"1.460.000"|"8 (6)"|0|6|"1,00"|"243.333"|""|1460000|8|"1. FSV Mainz 05"|"Choupo-Moting"|0
"Cigerci"|"VfL Wolfsburg"|"Mittelfeld"|"280.000"|"12 (10)"|0|2|"0,20"|"140.000"|""|280000|12|"VfL Wolfsburg"|"Cigerci"|0
"Clemens"|"FC Schalke 04"|"Mittelfeld"|"2.980.000"|"0 (0)"|0|0|"0,00"|"-"|""|2980000|0|"FC Schalke 04"|"Clemens"|0
"Cohen"|"1. FC Nürnberg"|"Mittelfeld"|"180.000"|"9 (6)"|0|8|"1,33"|"22.500"|""|180000|9|"1. FC Nürnberg"|"Cohen"|0
"Contento"|"FC Bayern München"|"Abwehr"|"440.000"|"5 (4)"|0|8|"2,00"|"55.000"|""|440000|5|"FC Bayern München"|"Contento"|0
"Coquelin"|"SC Freiburg"|"Mittelfeld"|"2.560.000"|"0 (0)"|0|0|"0,00"|"-"|""|2560000|0|"SC Freiburg"|"Coquelin"|0
"Correia"|"Eintracht Braunschweig"|"Abwehr"|"460.000"|"0 (0)"|0|0|"0,00"|"-"|""|460000|0|"Eintracht Braunschweig"|"Correia"|0
"D. Caligiuri"|"VfL Wolfsburg"|"Mittelfeld"|"3.810.000"|"29 (29)"|5|86|"2,97"|"44.302"|""|3810000|29|"VfL Wolfsburg"|"D.+Caligiuri"|0
"D. Dogan"|"Eintracht Braunschweig"|"Abwehr"|"600.000"|"0 (0)"|0|0|"0,00"|"-"|""|6e+05|0|"Eintracht Braunschweig"|"D.+Dogan"|0
"D. Reinhardt"|"FC Augsburg"|"Abwehr"|"270.000"|"4 (3)"|0|8|"2,67"|"33.750"|""|270000|4|"FC Augsburg"|"D.+Reinhardt"|0
"D. Vrancic"|"Eintracht Braunschweig"|"Mittelfeld"|"470.000"|"0 (0)"|0|0|"0,00"|"-"|""|470000|0|"Eintracht Braunschweig"|"D.+Vrancic"|0
"Dabanli"|"1. FC Nürnberg"|"Abwehr"|"270.000"|"8 (3)"|0|2|"0,67"|"135.000"|""|270000|8|"1. FC Nürnberg"|"Dabanli"|0
"Dante"|"FC Bayern München"|"Abwehr"|"8.530.000"|"29 (29)"|1|131|"4,52"|"65.115"|""|8530000|29|"FC Bayern München"|"Dante"|0
